time	diversity	m_div	M_div
686.494193961	0.01	0	1
686.59421255	0.01	0	1
686.694231139	0.01	0	1
686.794249728	0.01	0	1
686.894268316	0.01	0	1
686.994286905	0.01	0	1
687.094305494	0.01	0	1
687.194324083	0.01	0	1
687.294342672	0.01	0	1
687.394361261	0.01	0	1
687.494379849	0.01	0	1
687.594398438	0.01	0	1
687.694417027	0.01	0	1
687.794435616	0.01	0	1
687.894454205	0.01	0	1
687.994472794	0.01	0	1
688.094491382	0.01	0	1
688.194509971	0.01	0	1
688.29452856	0.01	0	1
688.394547149	0.01	0	1
688.494565738	0.01	0	1
688.594584327	0.01	0	1
688.694602915	0.01	0	1
688.794621504	0.01	0	1
688.894640093	0.01	0	1
688.994658682	0.01	0	1
689.094677271	0.01	0	1
689.19469586	0.01	0	1
689.294714448	0.01	0	1
689.394733037	0.01	0	1
689.494751626	0.01	0	1
689.594770215	0.01	0	1
689.694788804	0.01	0	1
689.794807393	0.01	0	1
689.894825982	0.01	0	1
689.99484457	0.01	0	1
690.094863159	0.01	0	1
690.194881748	0.01	0	1
690.294900337	0.01	0	1
690.394918926	0.01	0	1
690.494937515	0.01	0	1
690.594956103	0.01	0	1
690.694974692	0.01	0	1
690.794993281	0.01	0	1
690.89501187	0.01	0	1
690.995030459	0.01	0	1
691.095049048	0.01	0	1
691.195067636	0.01	0	1
691.295086225	0.01	0	1
691.395104814	0.01	0	1
691.495123403	0.01	0	1
691.595141992	0.01	0	1
691.695160581	0.01	0	1
691.795179169	0.01	0	1
691.895197758	0.01	0	1
691.995216347	0.01	0	1
692.095234936	0.01	0	1
692.195253525	0.01	0	1
692.295272114	0.01	0	1
692.395290702	0.01	0	1
692.495309291	0.01	0	1
692.59532788	0.01	0	1
692.695346469	0.01	0	1
692.795365058	0.01	0	1
692.895383647	0.01	0	1
692.995402236	0.01	0	1
693.095420824	0.01	0	1
693.195439413	0.01	0	1
693.295458002	0.01	0	1
693.395476591	0.01	0	1
693.49549518	0.01	0	1
693.595513769	0.01	0	1
693.695532357	0.01	0	1
693.795550946	0.01	0	1
693.895569535	0.01	0	1
693.995588124	0.01	0	1
694.095606713	0.01	0	1
694.195625302	0.01	0	1
694.29564389	0.01	0	1
694.395662479	0.01	0	1
694.495681068	0.01	0	1
694.595699657	0.01	0	1
694.695718246	0.01	0	1
